Frequency, Amplitude
580,05066  0,00004
581,39648  0,00003
582,74231  0,00004
584,08813  0,00001
585,43396  0,00005
586,77979  0,00004
588,12561  0,00006
589,47144  0,00006
590,81726  0,00005
592,16309  0,00002
593,50891  0,00004
594,85474  0,00002
596,20056  0,00004
597,54639  0,00001
598,89221  0,00003
600,23804  0,00006
601,58386  0,00002
602,92969  0,00003
604,27551  0,00001
605,62134  0,00000
606,96716  0,00001
608,31299  0,00006
609,65881  0,00001
611,00464  0,00004
612,35046  0,00000
613,69629  0,00005
615,04211  0,00000
616,38794  0,00006
617,73376  0,00000
619,07959  0,00000
620,42542  0,00000
621,77124  0,00001
623,11707  0,00000
624,46289  0,00005
625,80872  0,00001
627,15454  0,00006
628,50037  0,00001
629,84619  0,00006
631,19202  0,00002
632,53784  0,00006
633,88367  0,00002
635,22949  0,00002
636,57532  0,00003
637,92114  0,00003
639,26697  0,00004
640,61279  0,00005
641,95862  0,00004
643,30444  0,00003
644,65027  0,00005
645,99609  0,00005
647,34192  0,00006
648,68774  0,00005
650,03357  0,00005
651,37939  0,00004
652,72522  0,00004
654,07104  0,00005
655,41687  0,00004
656,76270  0,00004
658,10852  0,00003
659,45435  0,00002
660,80017  0,00002
662,14600  0,00004
663,49182  0,00001
664,83765  0,00006
666,18347  0,00001
667,52930  0,00002
668,87512  0,00001
670,22095  0,00005
671,56677  0,00000
672,91260  0,00003
674,25842  0,00000
675,60425  0,00006
676,95007  0,00000
678,29590  0,00002
679,64172  0,00000
680,98755  0,00002
682,33337  0,00000
683,67920  0,00003
685,02502  0,00001
686,37085  0,00000
687,71667  0,00001
689,06250  0,00001
690,40833  0,00001
691,75415  0,00002
693,09998  0,00002
694,44580  0,00005
695,79163  0,00003
697,13745  0,00005
698,48328  0,00004
699,82910  0,00006
701,17493  0,00004
702,52075  0,00004
703,86658  0,00005
705,21240  0,00006
706,55823  0,00006
707,90405  0,00004
709,24988  0,00005
710,59570  0,00006
711,94153  0,00004
713,28735  0,00006
714,63318  0,00004
715,97900  0,00005
717,32483  0,00003
718,67065  0,00002
720,01648  0,00002
721,36230  0,00001
722,70813  0,00002
724,05396  0,00000
725,39978  0,00001
726,74561  0,00003
728,09143  0,00001
729,43726  0,00002
730,78308  0,00000
732,12891  0,00002
733,47473  0,00000
734,82056  0,00006
736,16638  0,00000
737,51221  0,00003
738,85803  0,00000
740,20386  0,00006
741,54968  0,00000
742,89551  0,00002
744,24133  0,00001
745,58716  0,00006
746,93298  0,00001
748,27881  0,00004
749,62463  0,00001
750,97046  0,00002
752,31628  0,00002
753,66211  0,00004
755,00793  0,00003
756,35376  0,00005
757,69958  0,00004
759,04541  0,00004
760,39124  0,00004
761,73706  0,00005
763,08289  0,00005
764,42871  0,00005
765,77454  0,00006
767,12036  0,00003
768,46619  0,00005
769,81201  0,00005
771,15784  0,00004
772,50366  0,00003
773,84949  0,00004
775,19531  0,00003
776,54114  0,00003
777,88696  0,00006
779,23279  0,00002
780,57861  0,00006
781,92444  0,00002
783,27026  0,00006
784,61609  0,00001
785,96191  0,00005
787,30774  0,00001
788,65356  0,00001
789,99939  0,00000
791,34521  0,00000
792,69104  0,00000
794,03687  0,00006
795,38269  0,00000
796,72852  0,00005
798,07434  0,00000
799,42017  0,00003
800,76599  0,00000
802,11182  0,00006
803,45764  0,00000
804,80347  0,00000
806,14929  0,00001
807,49512  0,00003
808,84094  0,00001
810,18677  0,00006
811,53259  0,00002
812,87842  0,00001
814,22424  0,00003
815,57007  0,00003
816,91589  0,00003
818,26172  0,00003
819,60754  0,00004
820,95337  0,00006
822,29919  0,00005
823,64502  0,00004
824,99084  0,00006
826,33667  0,00002
827,68250  0,00005
829,02832  0,00003
830,37415  0,00004
831,71997  0,00001
833,06580  0,00004
834,41162  0,00000
835,75745  0,00003
837,10327  0,00003
838,44910  0,00002
839,79492  0,00002
841,14075  0,00002
842,48657  0,00000
843,83240  0,00001
845,17822  0,00000
