Frequency, Amplitude
820,953369  0,000261
822,299194  0,000265
823,645020  0,000266
824,990845  0,000270
826,336670  0,000272
827,682495  0,000276
829,028320  0,000276
830,374146  0,000279
831,719971  0,000282
833,065796  0,000283
834,411621  0,000285
835,757446  0,000289
837,103271  0,000291
838,449097  0,000295
839,794922  0,000296
841,140747  0,000301
842,486572  0,000303
843,832397  0,000306
845,178223  0,000307
846,524048  0,000311
847,869873  0,000312
849,215698  0,000315
850,561523  0,000323
851,907349  0,000325
853,253174  0,000328
854,598999  0,000332
855,944824  0,000334
857,290649  0,000340
858,636475  0,000341
859,982300  0,000344
861,328125  0,000345
862,673950  0,000351
864,019775  0,000356
865,365601  0,000358
866,711426  0,000362
868,057251  0,000369
869,403076  0,000370
870,748901  0,000373
872,094727  0,000380
873,440552  0,000382
874,786377  0,000388
876,132202  0,000395
877,478027  0,000398
878,823853  0,000399
880,169678  0,000409
881,515503  0,000409
882,861328  0,000414
884,207153  0,000419
885,552979  0,000427
886,898804  0,000434
888,244629  0,000437
889,590454  0,000445
890,936279  0,000450
892,282104  0,000458
893,627930  0,000465
894,973755  0,000469
896,319580  0,000476
897,665405  0,000478
899,011230  0,000488
900,357056  0,000492
901,702881  0,000498
903,048706  0,000509
904,394531  0,000520
905,740356  0,000524
907,086182  0,000534
908,432007  0,000542
909,777832  0,000552
911,123657  0,000555
912,469482  0,000565
913,815308  0,000577
915,161133  0,000586
916,506958  0,000596
917,852783  0,000607
919,198608  0,000613
920,544434  0,000628
921,890259  0,000637
923,236084  0,000651
924,581909  0,000660
925,927734  0,000674
927,273560  0,000687
928,619385  0,000707
929,965210  0,000711
931,311035  0,000730
932,656860  0,000745
934,002686  0,000755
935,348511  0,000780
936,694336  0,000792
938,040161  0,000813
939,385986  0,000827
940,731812  0,000847
942,077637  0,000867
943,423462  0,000893
944,769287  0,000903
946,115112  0,000940
947,460938  0,000964
948,806763  0,000982
950,152588  0,001013
951,498413  0,001041
952,844238  0,001072
954,190063  0,001101
955,535889  0,001140
956,881714  0,001174
958,227539  0,001202
959,573364  0,001259
960,919189  0,001304
962,265015  0,001347
963,610840  0,001402
964,956665  0,001454
966,302490  0,001516
967,648315  0,001570
968,994141  0,001637
970,339966  0,001727
971,685791  0,001793
973,031616  0,001894
974,377441  0,002000
975,723267  0,002108
977,069092  0,002239
978,414917  0,002383
979,760742  0,002536
981,106567  0,002716
982,452393  0,002920
983,798218  0,003172
985,144043  0,003460
986,489868  0,003815
987,835693  0,004218
989,181519  0,004760
990,527344  0,005427
991,873169  0,006346
993,218994  0,007605
994,564819  0,009495
995,910645  0,012639
997,256470  0,018839
998,602295  0,037018
999,948120  0,998032
1001,293945  0,040039
1002,639771  0,019639
1003,985596  0,013016
1005,331421  0,009745
1006,677246  0,007772
1008,023071  0,006484
1009,368896  0,005556
1010,714722  0,004862
1012,060547  0,004318
1013,406372  0,003877
1014,752197  0,003531
1016,098022  0,003245
1017,443848  0,002979
1018,789673  0,002782
1020,135498  0,002598
1021,481323  0,002414
1022,827148  0,002306
1024,172974  0,002164
1025,518799  0,002058
1026,864624  0,001950
1028,210449  0,001856
1029,556274  0,001772
1030,902100  0,001702
1032,247925  0,001638
1033,593750  0,001564
1034,939575  0,001506
1036,285400  0,001454
1037,631226  0,001391
1038,977051  0,001353
1040,322876  0,001305
1041,668701  0,001268
1043,014526  0,001227
1044,360352  0,001189
1045,706177  0,001157
1047,052002  0,001130
1048,397827  0,001093
1049,743652  0,001065
1051,089478  0,001036
1052,435303  0,001012
1053,781128  0,000989
1055,126953  0,000960
1056,472778  0,000940
1057,818604  0,000918
1059,164429  0,000895
1060,510254  0,000878
1061,856079  0,000859
1063,201904  0,000843
1064,547729  0,000828
1065,893555  0,000811
1067,239380  0,000794
1068,585205  0,000779
1069,931030  0,000764
1071,276855  0,000752
1072,622681  0,000733
1073,968506  0,000726
1075,314331  0,000710
1076,660156  0,000700
1078,005981  0,000691
1079,351807  0,000676
1080,697632  0,000668
1082,043457  0,000658
1083,389282  0,000643
1084,735107  0,000636
1086,080933  0,000622
1087,426758  0,000614
1088,772583  0,000603
1090,118408  0,000598
1091,464233  0,000593
1092,810059  0,000582
1094,155884  0,000572
1095,501709  0,000569
1096,847534  0,000560
1098,193359  0,000550
1099,539185  0,000541
1100,885010  0,000535
1102,230835  0,000531
1103,576660  0,000518
1104,922485  0,000522
1106,268311  0,000512
1107,614136  0,000507
1108,959961  0,000499
1110,305786  0,000490
1111,651611  0,000484
1112,997437  0,000481
1114,343262  0,000477
1115,689087  0,000473
1117,034912  0,000464
1118,380737  0,000460
1119,726562  0,000454
1121,072388  0,000451
1122,418213  0,000447
1123,764038  0,000444
1125,109863  0,000439
1126,455688  0,000431
1127,801514  0,000431
1129,147339  0,000423
1130,493164  0,000422
1131,838989  0,000416
1133,184814  0,000411
1134,530640  0,000406
1135,876465  0,000402
1137,222290  0,000399
1138,568115  0,000394
1139,913940  0,000391
